IID,salso,nTotal_pred
NDAR_INV003RTV85,2,-5473.903407302372
NDAR_INV00U4FTRU,5,-48291.17385584849
NDAR_INV01ELX9L6,5,-2.923169285230951
NDAR_INV01RGTWD2,2,-1.033159619931858
NDAR_INV030X9ZNH,5,-14720.201322521714
NDAR_INV04JY6730,1,-4.558087622324707
NDAR_INV05LGG3GZ,3,-1.8593131391290296
NDAR_INV06WHVUPX,2,0.589189430591691
NDAR_INV08FUB58A,1,81727.42518024812
NDAR_INV0A86UD86,1,-1761.1593899924321
NDAR_INV0CV2Y4YR,2,-0.850121286450708
NDAR_INV0HL5D3DF,1,0.9175771188619439
NDAR_INV0JRNB4U4,5,-2.462205630957812
NDAR_INV0L974J49,1,0.24734073914514002
NDAR_INV0NLL2KYE,2,0.23819476744841567
NDAR_INV0NR55WME,2,-4.573742870235711
NDAR_INV0P34UPZ9,1,-1.5302842267800947
NDAR_INV0PKCP1P3,1,-1123.5008650930931
NDAR_INV0UPRUMA1,5,-2989.7191968828874
NDAR_INV0VXEC29A,1,-22811.64800423533
NDAR_INV0X4A2LKW,1,0.5383289823980418
NDAR_INV0XDBADBW,1,-1.490699862543136
NDAR_INV0XU7Z6RH,1,-1.65585034513915
NDAR_INV0YMH4BW6,1,0.5676958974796004
NDAR_INV0YVKYMJX,1,0.6043094129447109
NDAR_INV109GUWFN,2,29226.56618428226
NDAR_INV10TEADFM,5,-2.374089630601896
NDAR_INV12WR8W3U,1,478.28595046131613
NDAR_INV1306ZGW1,2,-1.9446043547553686
NDAR_INV139PZ31D,1,1.6652732652750022
NDAR_INV13FP25D3,1,-0.8097702178962979
NDAR_INV13GH02YK,3,-31952.113700509435
NDAR_INV14992W6G,5,-1.5052768480657348
NDAR_INV1510CJF1,2,10720.013277460774
NDAR_INV15M33G49,1,-6868.1674661784755
NDAR_INV15YZBNE0,2,-0.5395579816931253
NDAR_INV173ZYYKX,5,-2.642013329176391
NDAR_INV174LD3GC,4,-15.600050871662457
NDAR_INV18BE29T0,2,-0.05124456187824046
NDAR_INV18RUWAJN,1,-0.07057182437912599
NDAR_INV1AFNKM8M,5,-1.9451862757025018
NDAR_INV1B7G7LND,1,-0.9084699178691377
NDAR_INV1D42VFML,2,35645.47961294035
NDAR_INV1FT79EHP,1,-1.3828946813811784
NDAR_INV1JERB432,1,-0.31752426234342196
NDAR_INV1JXDFV9Z,1,43634.0704423909
NDAR_INV1K3LDK3L,1,1.0922746593522696
NDAR_INV1MZ6AG9P,2,-3.914803576681567
NDAR_INV1NV489TJ,5,-158535.88321171346
NDAR_INV1P4JN8JH,1,-0.28954519168624593
NDAR_INV1R97KJ7J,5,8520.414424674695
NDAR_INV1U54HX62,1,-27020.45919658557
NDAR_INV1V7XPJKR,1,-0.48961963285129867
NDAR_INV1VKHC02B,2,28568.122245224193
NDAR_INV1VM14D0X,3,-21485.7654039692
NDAR_INV1W5TLB74,2,1.1974363168227726
NDAR_INV1WVHVGH7,1,0.5202528918747149
NDAR_INV1ZK55NV1,5,-2.839581604812773
NDAR_INV1ZKDLXEY,3,-6.354121504038368
NDAR_INV20NDWAH8,1,-3.6367208937568893
NDAR_INV243VF1J7,5,-10936.15191033953
NDAR_INV24MJ2521,2,11896.038713117416
NDAR_INV2547FH92,2,-3.0044809215289767
NDAR_INV25D23GPR,5,-3.767933282198175
NDAR_INV263W8YMY,2,3382.3147628936513
NDAR_INV26AW8K7K,2,0.30103097889386204
NDAR_INV26YB6ZJ9,5,-472.3231247041924
NDAR_INV27EPWLDM,5,-2.6975097701622976
NDAR_INV28X60X09,5,-2.1978133127016775
NDAR_INV29299DLJ,1,-0.878284504779092
NDAR_INV29YF00DM,5,-3.3146169926786
NDAR_INV2A5C0KWW,5,-2.4344461818545646
NDAR_INV2B7P1TMR,3,-525.8116600456563
NDAR_INV2B9KMD5C,1,-1.0647769812843813
NDAR_INV2BBMM5MF,5,245666.77837057126
NDAR_INV2BUTEB8U,1,-2.7755416418774144
NDAR_INV2CK4MB02,5,21827.038310587403
NDAR_INV2DTHE81G,1,-0.26670875358388685
NDAR_INV2E5NFGXW,2,-2.0057519307279534
NDAR_INV2E77XGT6,1,-6018.2811570006215
NDAR_INV2ETV199X,2,4560.556413976965
NDAR_INV2FXB1E4J,2,-0.6232603145031993
NDAR_INV2H0FM634,1,3464.321384646873
NDAR_INV2K16Y0LC,5,-2.6222226553618975
NDAR_INV2KJNX54B,1,-2788.4334500095456
NDAR_INV2L40420R,1,-0.44988445946654176
NDAR_INV2LA00BUD,2,-1.0795217243245319
NDAR_INV2LD0E2FB,3,-6515.570573795918
NDAR_INV2NZV8ELL,2,-0.9384502236348045
NDAR_INV2P2LLTJC,5,-3.5288432590489855
NDAR_INV2P48F0JJ,1,-3.0215678339629295
NDAR_INV2PFVV0YJ,2,-3930.251844023795
NDAR_INV2RJ8ZRGL,1,-0.7284477517870115
NDAR_INV2TRERCDA,5,41774.90838203841
NDAR_INV2U3DNEET,1,-1.5247261397652319
NDAR_INV2U88LX3T,1,-0.47015448416814665
NDAR_INV2VJF8M3C,3,-1.9297602857705125
NDAR_INV2VY7YYNW,1,-0.33609987219292436
NDAR_INV2W4HNGV7,5,-1.5128272941034009
NDAR_INV2YBXVCKR,5,-2.3240338793049773
NDAR_INV2YH5GYE4,1,-1.7851751539181522
NDAR_INV2ZJXDTEL,1,1.7144520475361988
NDAR_INV3093VDLX,2,-0.5239666798091205
NDAR_INV31NMMY4J,1,2.4581966581477364
NDAR_INV32P8UGE7,5,-2.3374217995731326
NDAR_INV34BZY5KP,5,-3.3192114526565066
NDAR_INV34H78073,2,-1.350151507273123
NDAR_INV34YGA6HN,2,-0.5860928799093105
NDAR_INV355PUM5E,1,-1.0584391676424507
NDAR_INV361NRHEX,5,-1.3753356645686006
NDAR_INV37E785RU,5,-1.282373970859028
NDAR_INV37FTP2A7,5,-14090.408211472533
NDAR_INV37MKKJBX,2,-45267.173114587546
NDAR_INV38MDKPJC,2,-1.9388577937882057
NDAR_INV38UUC1PC,1,4285.390358661279
NDAR_INV3A81U14B,1,6985.998278494156
NDAR_INV3B70AX8C,5,-2.8147604634379313
NDAR_INV3B78K6LY,3,-2.402732653180901
NDAR_INV3GFD7GXB,5,-2.4445252849036487
NDAR_INV3H54D8DK,2,-2.5656600724461227
NDAR_INV3H81JJ1U,2,9121.367566389223
NDAR_INV3HV5ZJLJ,2,-0.38749335989056094
NDAR_INV3KBYKMJ2,1,3.004623188531975
NDAR_INV3MANP3Y8,5,-2.2796736863587608
NDAR_INV3N6L8Z9U,5,-3.189646044690243
NDAR_INV3P1U2ABW,2,-1.3323010299013034
NDAR_INV3RXJAR68,1,2147.0645250550965
NDAR_INV3TG667EC,3,38968.05765500033
NDAR_INV3TGTC3C9,2,0.24149232772518892
NDAR_INV3TT997HJ,1,0.8713940030242757
NDAR_INV3VGP47P6,5,-5255.021616776594
NDAR_INV3WXXPJKW,5,-1.593078060375801
NDAR_INV3XM1RJF0,2,-480.3139627513175
NDAR_INV3XW4NJJV,1,-29963.46604732098
NDAR_INV3YKLWXF1,5,-3.23076449265027
NDAR_INV3ZHEYRWE,1,113.96239601947869
NDAR_INV41KABJ1Z,3,159.63908548763598
NDAR_INV4208ZTJH,5,-384.45928741749293
NDAR_INV43AFH5U4,2,13309.093252655643
NDAR_INV44A0LV53,1,3.2021655709981194
NDAR_INV45F6VJ4T,5,-2.712621436059816
NDAR_INV46VFKP3F,3,-4.147544156965771
NDAR_INV476NCATP,2,3285.4112840476046
NDAR_INV47RJB7Z0,1,-0.9194793112223254
NDAR_INV47W6DHJC,5,0.9027182515209612
NDAR_INV4A443KDZ,1,-0.1904819607221437
NDAR_INV4AY58X03,5,124816.79717927455
NDAR_INV4CB96L7N,1,-3.0978284811125016
NDAR_INV4D6F5KCG,1,0.9665431721115413
NDAR_INV4G3XF9GX,1,-0.06793144286832632
NDAR_INV4GL2HZC0,1,-1.2629648093808707
NDAR_INV4HUTD0B9,1,-1.8016056118303165
NDAR_INV4LF63ATG,2,-0.44356830636051353
NDAR_INV4LPXB23R,2,-2.3258687947622207
NDAR_INV4M3N3TW1,5,-54895.356134126196
NDAR_INV4ME5JJPC,2,-3.5762278743505655
NDAR_INV4NPWH7C3,1,-1.8955999002471762
NDAR_INV4P46R5XT,1,527.296716878314
NDAR_INV4P9B9PGN,2,-0.8563574779904126
NDAR_INV4RFZF7PZ,2,-0.9244166351517483
NDAR_INV4UZ5M3N6,5,-22162.125774266377
NDAR_INV4UZ9DDJH,2,-1.208811163682827
NDAR_INV4WU2W91W,2,-833.2559883372157
NDAR_INV4X19HRWY,1,0.9250085589407125
NDAR_INV4YVTN782,2,-2.0660919315175734
NDAR_INV50P8MAGW,1,9156.364833286365
NDAR_INV512RTCH1,2,-8500.371700348807
NDAR_INV51W3Y9EW,1,0.21983460461616175
NDAR_INV51ZUKMA3,2,-9.624970377302718
NDAR_INV533LX1UY,3,-157840.82853984507
NDAR_INV53AA4BL6,2,-1.2034183151807414
NDAR_INV53BA6MNE,5,-0.8489256647351763
NDAR_INV53EP1G5X,5,-0.6432053437773616
NDAR_INV54EF1FZJ,3,-276.57255762567905
NDAR_INV55XTBJ9D,2,-122.40713754802427
NDAR_INV56J3P7WJ,5,3328.4648689606956
NDAR_INV56KML05T,2,0.2967076366164643
NDAR_INV56P2568B,1,-1.5584329508926384
NDAR_INV56TWKCTL,2,16165.239020043446
NDAR_INV56UZU99J,5,-2.436821208997095
NDAR_INV57F63WRL,3,-5.694382256640319
