sample,model,testRMSE,testLPS,testARI,testARISalsoBinder,testARISalsoVI,testARImodalSalsoBinder,testARImodalSalsoVI,nclusters
combined,DP-GMM,0.9637061151992424,-1.382475219657069,0.01694254180839913,NA,NA,NA,NA,2
combined,PPMx (standard),9960.789846123816,-3.1996380088682788,0.03137326444632463,0.03397732296844295,0.00402211660025605,0.721437000390271,0.03350330475481054,5
combined,PPMx-common,22417.432998521806,-3.3113184828053406,0.04743355613212475,0.03976591351112405,0.01032734516585972,0.617188157587745,0.07000594107551708,12
combined,k-means,0.9667782365504808,-1.3855755153453504,0.03780842494650253,NA,NA,NA,NA,19
female,DP-GMM,NA,NA,0.05157961014636254,NA,NA,NA,NA,11
female,PPMx (standard),11888.122934521552,-1.5031877822049236,0.03010146804225159,0.03001354879434692,0.00731517037788771,0.96151615605388,0.13578935513677762,3
female,PPMx-common,16118.121787749147,-1.4329778069741503,0.03384701905222725,0.03419523064810518,0.00833850309836477,0.95198984298418,0.12414583096460192,3
female,k-means,0.9764658199954036,-1.395524270571458,0.03892968141698234,NA,NA,NA,NA,19
male,DP-GMM,NA,NA,0.03694297285496309,NA,NA,NA,NA,13
male,PPMx (standard),20994.981389568577,-1.7267160414482263,0.01943671327827944,0.01900649868068654,0.00718088986330089,0.9311662634841316,0.14829384449027355,3
male,PPMx-common,5906.540381793288,-1.522366008686787,0.02419035988036587,0.0297478159429333,0.00204038685842783,0.7735053205112807,0.03000799161457266,4
male,k-means,0.97353824962782,-1.3924856853638767,0.02734461828241812,NA,NA,NA,NA,19
