fold,rmse,mean_rmse,sample
1,5112.811541552295,4.048029995558448e104,combined
2,6195.405148639155,4.048029995558448e104,combined
3,2.024014997779224e105,4.048029995558448e104,combined
4,3875.6916161802137,4.048029995558448e104,combined
5,5127.551785768722,4.048029995558448e104,combined
1,2389.9555065899826,3170.616709598837,female
2,3083.6535308528937,3170.616709598837,female
3,3487.4031216997805,3170.616709598837,female
4,2593.518020261591,3170.616709598837,female
5,4298.5533685899345,3170.616709598837,female
1,2643.3780960394884,3413.0958351738473,male
2,3682.054090719246,3413.0958351738473,male
3,3101.5275726344044,3413.0958351738473,male
4,4727.524695788677,3413.0958351738473,male
5,2910.9947206874217,3413.0958351738473,male
