model,metric,female_delta,female_better,male_delta,male_better
PPMx-common,testRMSE,-6299.311210772659,TRUE,-16510.892616728517,TRUE
PPMx-common,testLPS,1.8783406758311902,TRUE,1.7889524741185536,TRUE
PPMx-common,testARI,-0.013586537079897501,FALSE,-0.023243196251758882,FALSE
PPMx-common,testARISalsoBinder,-0.005570682863018872,FALSE,-0.010018097568190752,FALSE
PPMx-common,testARISalsoVI,-0.00198884206749495,FALSE,-0.00828695830743189,FALSE
PPMx-common,testARImodalSalsoBinder,0.33480168539643496,TRUE,0.1563171629235357,TRUE
PPMx-common,testARImodalSalsoVI,0.054139889889084844,TRUE,-0.03999794946094442,FALSE
PPMx-common,nclusters,-9,TRUE,-8,TRUE
PPMx (standard),testRMSE,1927.333088397736,FALSE,11034.19154344476,FALSE
PPMx (standard),testLPS,1.6964502266633552,TRUE,1.4729219674200524,TRUE
PPMx (standard),testARI,-0.0012717964040730376,FALSE,-0.011936551168045189,FALSE
PPMx (standard),testARISalsoBinder,-0.003963774174096029,FALSE,-0.01497082428775641,FALSE
PPMx (standard),testARISalsoVI,0.0032930537776316602,TRUE,0.0031587732630448404,TRUE
PPMx (standard),testARImodalSalsoBinder,0.24007915566360893,TRUE,0.20972926309386053,TRUE
PPMx (standard),testARImodalSalsoVI,0.10228605038196709,TRUE,0.11479053973546302,TRUE
PPMx (standard),nclusters,-2,TRUE,-2,TRUE
k-means,testRMSE,0.00968758344492282,FALSE,0.0067600130773392,FALSE
k-means,testLPS,-0.009948755226107497,FALSE,-0.00691017001852634,FALSE
k-means,testARI,0.001121256470479809,TRUE,-0.010463806664084408,FALSE
k-means,testARISalsoBinder,NA,NA,NA,NA
k-means,testARISalsoVI,NA,NA,NA,NA
k-means,testARImodalSalsoBinder,NA,NA,NA,NA
k-means,testARImodalSalsoVI,NA,NA,NA,NA
k-means,nclusters,0,FALSE,0,FALSE
DP-GMM,testRMSE,NA,NA,NA,NA
DP-GMM,testLPS,NA,NA,NA,NA
DP-GMM,testARI,0.03463706833796341,TRUE,0.02000043104656396,TRUE
DP-GMM,testARISalsoBinder,NA,NA,NA,NA
DP-GMM,testARISalsoVI,NA,NA,NA,NA
DP-GMM,testARImodalSalsoBinder,NA,NA,NA,NA
DP-GMM,testARImodalSalsoVI,NA,NA,NA,NA
DP-GMM,nclusters,9,FALSE,11,FALSE
